reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e2ebf040-c2cb-4527-9e00-76640dc5911d,XRalph,https://play-lh.googleusercontent.com/a-/ALV-UjWQMPRZRThGfTFyNcId_U-9lfIOnhVRHA0XqqLBZV1-_juxoz0y,"mohon disederhanakan tampilan layar utamanya, seperti pop up event/promo, & shortcut mini game sama video-video livenya, soalnya cukup berantakan dan cukup Menuhin layar. apalagi thumbnail video-video livenya banyak yg nge-distraksi dan bikin ga fokus bgt, promo/event apapun itu jadi gak kebaca.",3,106,3.40.16,2024-12-23 12:01:04,,,3.40.16
a0f63084-bee8-4764-8c89-d587a8b61b62,Ari Kusniadi,https://play-lh.googleusercontent.com/a-/ALV-UjV8JTVt2XgnW1WXt6b0I_dce1CfD8fD5ZA4FfbETC3FEtWP5zo0,"App e-ecommerce dgn potongan diskon menarik, ongkir yg murah dan variasi barang yg banyak. Mohon diperbaiki fitur filter dan sort nya yg tidak konsisten dan tidak efektif sehingga barang yg dicari terlalu banyak pilihannya.",4,67,3.40.11,2024-12-23 13:04:36,"Hai kak, makasih ya feedbacknya semooga Shopee bisa terus menuhin kebutuhan kamu nih. Cuss meluncur ke aplikasi Shopee versi terbaru jangan sampe kelewatan promo dan kejutan menariknya. Kalo ada kendala, jgn ragu buat colek aku di DM IG @Shopee_id atau melalui live chat aplikasi Shopee km. Happy Shopping :) ^WW
",2023-01-04 02:04:45,3.40.11
2eb62dda-7469-471b-ae13-40714a1e2f45,Dodo Rahman,https://play-lh.googleusercontent.com/a/ACg8ocJikiDN1lgn1p_KIcUYeMfH_JrjqeAfLEFXo_UK468eTG-Xmg=mo,Belum pernah mengalami kendala. Cuman pernah kecewa biasa pakai pengiriman opsi hemat wajar kalo hampir 10 hari sampai. Terakhir karna ingin produk lebih cepat sampai. Menggunakan opsi reguler/standar ternyata malah lebih lama. Pakai opsi hemat dr jkt 6 hari pakai standar malah 11 hari.,5,319,3.40.11,2024-12-23 05:27:36,"Hi kak, maaf bikin km resah terkait kendala pengiriman yg lama. aku bntu info krna bnyaknya antusias mka perlu waktu untuk pngirimannya kak. namun km tdk perlu khawatir, jasa kirim akan berusaha maksimal dalam pengiriman. jika ada kndala pesanan, boleh infoin username dan no pesanan km via DM ke Sosmed @shopee_id ya. aku tnggu ya kak ^YN",2024-12-23 06:34:09,3.40.11
57835228-a38c-4b35-b410-5c5760073fc4,M Irsan Amar,https://play-lh.googleusercontent.com/a-/ALV-UjVxUZTVXPjGkWkTgUMDgIDB1FbQo2tiICbkoou5DKQjxWT0qoNH,"Benerin bug pengaturan expedisi pengiriman, maunya pake kargo malah balik terus ke reguler/hemat, Padahal internet baik baik saja. Harus diulang ulang terus sampai lebih dari 5x itupun kalo beruntung. Satu lagi, buat harga jadi harga sebenarnya jangan banyak potongan-potongan voucher yang ujung-ujungnya ga bisa dipakai. Cape dikira bisa beli barang lebih murah pas dicek out malah jadi harga original. Sering buat emosi.",1,129,3.40.11,2024-12-22 15:56:48,"Hi kak, maaf udh bikin resah terkait kendala pengisian alamat yg gagal. Aku infoin kmu bisa clear chace dan pastikan jaringan kmu stabil ya kak. Biar bsa, aku bntu cek, boleh infoin detail kendala km dgn memberikan screenshot review ini melalui Live Chat atau DM ke Media Sosial @Shopee_id / @Shopeecare ya kak, sehat selalu^EX",2024-12-22 16:12:52,3.40.11
6a8a1bb5-4dc8-470d-ac72-0acdd9b2ba15,Huda shan,https://play-lh.googleusercontent.com/a-/ALV-UjW5B9gtDgGkkhIZJVCgDMYat5alYR97IDOT95kzudv98mKRJ_P2,"Untuk metode belanjanya sudah bagus, namun untuk spinjam nya buruk. Karna sudah hampir 2tahun akun spinjam saya dibekukan, padahal terkait angsuran sudah saya lunasi semuanya walaupun ada yg telat 1 bulan. Tolong diperbaiki mekanis sistemnya, terima kasih.",3,31,3.39.17,2024-12-23 00:57:53,"Hi kak terima kasih untuk feedbcknya, feedback kakak akan kami jadikan masukan buat Shopee lebih baik lagi kedepannya ya kak. Namun agar bisa aku cek mohon untuk informasikan username dan ss notifikasi kendala ke DM media sosial resmi Shopee yg verified ya. Terima Kasih, ditunggu ya kak^JK",2024-12-23 01:41:16,3.39.17
3440cfcc-d556-430e-b1d1-807c5d058126,Deki Kurniawan,https://play-lh.googleusercontent.com/a/ACg8ocKOirEvGET7fLaIbAzpue_eGsihOOY7O_zyi1hceEqWSh0EcA=mo,"Aplikasinya bagus, promonya bagus, penjualnya bagus, cuma sayang agen dan kurir SPX nya yang kurang becus.. Padahal sudah sampai ke kota tujuan, bukannya barang dikirim, malah nolak barang.. Alasan ditolak pembeli.. Di cek di kantor agennya malah gak bisa diambil di kantor.. Kasian sama pembeli dan penjualnya.. Percuma promo ini itu kalo kurir SPX nya seperti ini....",1,75,3.40.11,2024-12-22 13:46:12,"Hai kak, maaf ya udah buat km gak nyaman terkait pesanan kakak, agar aku bisa bantu boleh infoin Username dan nomor pesanan melalui DM ke Social Media kita @ShopeeID/@Shopeecare. Aku tunggu ^CQ",2024-12-22 14:47:36,3.40.11
fbfe041f-3a14-4bce-8ddb-bed1f8aeebf7,Aria Sulistyasmara,https://play-lh.googleusercontent.com/a-/ALV-UjXKuMkiTN8BBgN22DiHL8KTmAb1d2S0iOcXUK-E7lKggYRxZv3Q,"Salah satu aplikasi penyedia kebutuhan/tempat berbelanja yang lumayan lengkap dengan memberikan banyak kejutan serta pelayanan yang baik. Teruslah berkarya dan berinovasi buat Shopee! Semoga aplikasinya bisa selalu ringan di hp dan nertambah canggih! Ada beberapa keluhan, ada beberapa penjual yg menjual barang pre-order, tapi ternyata seakan ditipu hanya dijadikan tempat depisito uang sementara saja, begitu tanggal sudah sampai batasnya, tidak ada konfirmasi ada/tidaknya barang dan dibatalkan.",5,483,3.38.35,2024-12-22 07:45:42,"Hi Kak, makasih bgt ya review dan bintangnya. Semoga Shopee bisa selalu memberikan pengalaman yg terbaik untuk semua pengguna. Kalau ada pertanyaan terkait Shopee jangan sungkan DM mimin di @Shopee_id / @Shopeecare ya, sehat selalu 😊^BP",2024-09-11 19:03:33,3.38.35
c4703bd5-313c-4e9c-94e6-97e095d0c1f4,Herman Faisal,https://play-lh.googleusercontent.com/a-/ALV-UjU8TvWaGdSRgwxJfDIGnme0QSPHnZdF6mFMy1r7i5wKuLYItZENmg,Masukan saya sekarang agak lama paket datang karena kurir sekarang tidak bebas memilih apalagi yang mengunakan gratis ongkir bisa sampai 1 minggu lebih bahkan ada yang mau 1 bulan baru nyampenya. kalo dulu sangat cepat sekitaran 4 hari udah nyampe bahkan kurang dari 4 hari dan paling lambat 1 minggu. Iya untuk shopee tolong di perbaiki kalo mau memakai kurir shopee sendiri yah jangan merugi kan konsumen dengan mengulur estimasi paket sampai nya. Jika tidak mampu kembalikan seperti awal saja.,4,28,3.40.11,2024-12-22 08:34:47,"Hai kak, maaf ya udah buat kamu ga nyaman terkait pengiriman yg lama. Terkait masukan dari kakak akan dijadikan evaluasi agar pelayanan dan juga performa aplikasi Shopee semakin lebih baik lagi ke depan nya. Jika kakak masih terkendala pesanan kakak bisa hubungi aku via DM @Shopee_id / @ShopeeCare ya. Sehat selalu kak ^CJ",2024-12-22 09:17:32,3.40.11
24174135-238c-4286-be4b-bfd975538e55,dani zivit,https://play-lh.googleusercontent.com/a-/ALV-UjVqe4HINK_1LEEu-Nf4eDESP_RzqAmgYXveFcQJH2WFgEZku0M,"Malah tambah parah, katanya expedisi bisa dirubah sbelum kirim. Ternyata setelah dipilih expedisinya nanti akan berubah kembali sesuai pilihan shopee sendiri, jadi dikira sesuai pilihan terakhir ternyata sama shopee dirubah expedisi lain pembohongan itu namanya saya pengguna shopee dari thn 2017. Lebih baik saya hapus",1,46,3.39.17,2024-12-22 07:32:52,"hai kak, maaf atas ketidaknyamanannya trkait kendala tida bisa ubah jasa kirim. Aku bantu infoin, saat ini hnya bisa memilih jasa kirim yang diinginkan (berdasarkan jasa kirim yang diaktifkan oleh Penjual) hanya sebelum klik Buat Pesanan. moga info aku membantu, jika ada kendala bisa hubungi aku ke DM ig @shopee_id. stay safe 😊^DP",2024-09-24 10:10:18,3.39.17
8c32c7ae-4274-4695-be9b-65f7f4859f3e,Arizal Zadewa,https://play-lh.googleusercontent.com/a/ACg8ocKDfqNLJhekF8STiAg7zfvBq5CHV5LX38LiwaVQPfDMZozyzw=mo,Sudah lama belanja pakek app shopee pesanan selalu tepat waktu. Tapi per bulan Oktober-November pesanan selalu telat tidak sesuai dengan tanggal estimasi. Kecewa sekali 3x orderan paket selalu telat dari tanggal yg di tentukan. Tolong lah buat kebijakan app shopee pengiriman/kurir di perbaiki lagi,5,3169,3.38.35,2024-12-01 09:54:29,"Hai kak, maaf ya udh buat km ga nyaman terkait kendala yang km alami. Shopee akan terus berusaha meningkatkan pelayanan dan pengembangan agar pengguna lebih nyaman dalam menggunakan aplikasinya ya kak.Terkait kendala yg km alami untuk dapat aku bantu masalahnya jangan ragu buat DM ke sosmed resmi Shopee @shopee_id/@shopeecare yah, Stay safe🙏^AQ",2024-12-01 10:18:46,3.38.35
